State,2015 Rate,,,,,,,,,,,,,,,,,,,,,,,,,
United States ,5.3,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama ,6.1,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska ,6.5,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona ,6.1,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,5.2,,,,,,,,,,,,,,,,,,,,,,,,,
California ,6.2,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado ,3.9,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,5.6,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,4.9,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia ,6.9,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,5.4,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia ,5.9,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii ,3.6,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho ,4.1,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois ,5.9,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,4.8,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa ,3.7,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas ,4.2,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,5.4,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana ,6.3,,,,,,,,,,,,,,,,,,,,,,,,,
Maine ,4.4,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,5.2,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,5.4,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota ,3.7,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi ,6.5,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
Montana ,4.1,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska ,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada ,6.7,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire ,3.4,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,5.6,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico ,6.6,,,,,,,,,,,,,,,,,,,,,,,,,
New York,5.3,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,5.7,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota ,2.7,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio ,4.9,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma ,4.2,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,5.7,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,5.1,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island ,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina ,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota ,3.1,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,5.8,,,,,,,,,,,,,,,,,,,,,,,,,
Texas ,4.5,,,,,,,,,,,,,,,,,,,,,,,,,
Utah ,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont ,3.7,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia ,4.4,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,5.7,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia ,6.7,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin ,4.6,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming ,4.2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
